iter	Passed	Remaining
0	146	145924
1	147	73486
2	148	49337
3	149	37236
4	150	29936
5	151	25076
6	152	21592
7	153	18994
8	153	16942
9	154	15302
10	155	13989
11	156	12889
12	157	11963
13	158	11165
14	159	10475
15	160	9865
16	161	9327
17	162	8856
18	163	8428
19	164	8047
20	165	7694
21	165	7373
22	166	7084
23	167	6811
24	168	6560
25	168	6330
26	169	6112
27	170	5914
28	171	5731
29	171	5559
30	172	5394
31	173	5241
32	174	5099
33	174	4963
34	175	4836
35	176	4716
36	176	4604
37	177	4499
38	178	4401
39	179	4306
40	180	4214
41	180	4128
42	181	4043
43	182	3960
44	182	3882
45	183	3810
46	184	3739
47	185	3673
48	185	3607
49	186	3545
50	187	3483
51	187	3425
52	188	3371
53	189	3317
54	190	3265
55	190	3217
56	191	3168
57	192	3122
58	193	3079
59	193	3037
60	194	2995
61	195	2956
62	196	2915
63	196	2877
64	197	2840
65	198	2805
66	198	2769
67	199	2730
68	199	2695
69	200	2664
70	201	2633
71	201	2603
72	202	2574
73	203	2547
74	204	2520
75	205	2494
76	205	2467
77	206	2441
78	207	2416
79	208	2393
80	208	2370
81	209	2348
82	210	2326
83	211	2304
84	211	2280
85	212	2259
86	213	2236
87	213	2216
88	214	2196
89	215	2176
90	215	2157
91	216	2138
92	217	2120
93	218	2102
94	218	2085
95	219	2068
96	220	2051
97	221	2034
98	221	2017
99	222	2002
100	223	1987
101	223	1969
102	224	1955
103	225	1941
104	226	1927
105	226	1914
106	227	1900
107	228	1887
108	229	1873
109	229	1860
110	230	1846
111	231	1834
112	232	1822
113	232	1809
114	233	1797
115	234	1783
116	234	1772
117	235	1761
118	236	1749
119	237	1739
120	238	1729
121	239	1720
122	239	1707
123	240	1698
124	241	1687
125	242	1678
126	242	1669
127	243	1657
128	244	1648
129	244	1638
130	245	1629
131	246	1620
132	247	1611
133	247	1602
134	248	1593
135	249	1585
136	250	1576
137	250	1566
138	251	1558
139	252	1550
140	253	1543
141	254	1536
142	255	1529
143	256	1522
144	256	1515
145	257	1507
146	258	1499
147	259	1491
148	259	1484
149	260	1476
150	261	1469
151	261	1461
152	262	1454
153	263	1446
154	264	1439
155	264	1432
156	265	1425
157	266	1418
158	266	1412
159	267	1405
160	268	1399
161	269	1392
162	270	1386
163	270	1380
164	271	1374
165	272	1369
166	273	1364
167	274	1358
168	275	1352
